Artist,Genre,Info
Ed Sheeran,Pop,"('Nacimiento 17 de febrero de 1991 (32 años)', 'Nacionalidad Británica')"
Imagine Dragons,Rock,"(None, 'Origen Las Vegas, Nevada, Estados Unidos')"
Bruno Mars,Pop,"('Nacimiento 8 de octubre de 1985 (38 años)', 'Nacionalidad Estadounidense')"
Taylor Swift,Pop,"('Nacimiento 13 de diciembre de 1989 (33 años)', 'Nacionalidad Estadounidense')"
Robert_Lopez,Pop,"('Nacimiento 23 de febrero de 1975 (48 años)', 'Nacionalidad Estadounidense')"
Eminem,Hip Hop,"('Nacimiento 17 de octubre de 1972 (51 años)', 'Nacionalidad Estadounidense')"
One Direction,Pop,"(None, 'Origen Londres (Reino Unido)')"
Taylor Swift,Pop,"('Nacimiento 13 de diciembre de 1989 (33 años)', 'Nacionalidad Estadounidense')"
Ed Sheeran,Pop,"('Nacimiento 17 de febrero de 1991 (32 años)', 'Nacionalidad Británica')"
Sam Smith,Pop,"('Nacimiento 19 de mayo de 1992 (31 años)', None)"
Adele,Pop,"('Nacimiento 5 de mayo de 1988 (35 años)', 'Nacionalidad Británica')"
Justin Bieber,Pop,"('Nacimiento 1 de marzo de 1994 (29 años)', 'Nacionalidad Canadiense')"
Twenty One Pilots,Hip Hop,"(None, 'Origen Columbus, Ohio, Estados Unidos')"
Drake_(músico),Hip Hop,"('Nacimiento 24 de octubre de 1986 (37 años)', 'Nacionalidad Canadiense')"
Post Malone,Hip Hop,"('Nacimiento 4 de julio de 1995 (28 años)', 'Nacionalidad Estadounidense')"
The Weeknd,R&B,"('Nacimiento 16 de febrero de 1990 (33 años)', 'Nacionalidad Canadiense')"
Ed Sheeran,Pop,"('Nacimiento 17 de febrero de 1991 (32 años)', 'Nacionalidad Británica')"
Robert_Lopez,Pop,"('Nacimiento 23 de febrero de 1975 (48 años)', 'Nacionalidad Estadounidense')"
Taylor Swift,Pop,"('Nacimiento 13 de diciembre de 1989 (33 años)', 'Nacionalidad Estadounidense')"
Post Malone,Hip Hop,"('Nacimiento 4 de julio de 1995 (28 años)', 'Nacionalidad Estadounidense')"
Drake_(músico),Hip Hop,"('Nacimiento 24 de octubre de 1986 (37 años)', 'Nacionalidad Canadiense')"
Travis Scott,Hip Hop,"('Nacimiento 30 de abril de 1991 (32 años)', 'Nacionalidad Estadounidense')"
Billie Eilish,Pop,"('Nacimiento 18 de diciembre de 2001 (21 años)', 'Nacionalidad Estadounidense')"
Post Malone,Hip Hop,"('Nacimiento 4 de julio de 1995 (28 años)', 'Nacionalidad Estadounidense')"
BTS,Pop,"(None, 'Origen Seúl, Corea del Sur')"
BTS,Pop,"(None, 'Origen Seúl, Corea del Sur')"
BTS,Pop,"(None, 'Origen Seúl, Corea del Sur')"
Pop Smoke,Hip Hop,"('Nacimiento 20 de julio de 1999', 'Nacionalidad Estadounidense')"
Adele,Pop,"('Nacimiento 5 de mayo de 1988 (35 años)', 'Nacionalidad Británica')"
Olivia Rodrigo,Pop,"('Nacimiento 20 de febrero de 2003 (20 años)', 'Nacionalidad Estadounidense')"
Mark_Lee,Pop,"('Nacimiento 2 de agosto de 1999 (24 años)', 'Nacionalidad Canadiense')"
