canciones_id,Artist,Album,Tracks,album_id,Pistas
15,Alanis Morissette,Jagged Little Pill,13,5Ap3F8CxjjsQKZGASDcHNA,"All I Really Want - 2015 Remaster, You Oughta Know - 2015 Remaster, Perfect - 2015 Remaster, Hand in My Pocket - 2015 Remaster, Right Through You - 2015 Remaster, Forgiven - 2015 Remaster, You Learn - 2015 Remaster, Head over Feet - 2015 Remaster, Mary Jane - 2015 Remaster, Ironic - 2015 Remaster, Not the Doctor - 2015 Remaster, Wake Up - 2015 Remaster, You Oughta Know (Jimmy the Saint Blend) / Your House - A Capella; 2015 Remaster"
16,Mariah Carey,Daydream,12,1ibYM4abQtSVQFQWvDSo4J,"Fantasy, Underneath the Stars, One Sweet Day, Open Arms, Always Be My Baby, I Am Free, When I Saw You, Long Ago, Melt Away, Forever, Daydream Interlude - Fantasy Sweet Dub Mix, Looking In"
17,Oasis_(banda),(What's The Story) Morning Glory?,12,6tOe4eAF8xNhEkl9WyvsE4,"Hello - Remastered, Roll With It - Remastered, Wonderwall - Remastered, Don't Look Back In Anger - Remastered, Hey Now! - Remastered, The Swamp Song (Excerpt 1) - Remastered, Some Might Say - Remastered, Cast No Shadow - Remastered, She's Electric - Remastered, Morning Glory - Remastered, The Swamp Song (Excerpt 2) - Remastered, Champagne Supernova - Remastered, Talk Tonight - Remastered, Acquiesce - Remastered, Headshrinker - Remastered, It's Better People - Remastered, Rockin' Chair - Remastered, Step Out - Remastered, Underneath The Sky - Remastered, Cum On Feel The Noize - Remastered"
18,Celine Dion,Falling Into You,14,2vk0n8aeQSO74VtQBbNDPR,"It's All Coming Back to Me Now, Because You Loved Me (Theme from ""Up Close and Personal""), Falling Into You, Make You Happy, Seduces Me, All By Myself, Declaration Of Love, (You Make Me Feel Like) A Natural Woman, Dreamin' Of You, I Love You, If That's What It Takes, I Don't Know, River Deep, Mountain High, Your Light, Call The Man, Fly"
19,Spice Girls,Spice,10,3x2jF7blR6bFHtk4MccsyJ,"Wannabe, Say You'll Be There, 2 Become 1, Love Thing, Last Time Lover, Mama, Who Do You Think You Are, Something Kinda Funny, Naked, If U Can't Dance"
20,Matchbox Twenty,Yourself Or Someone Like You,12,4vUXTcKz7tXxrNl84meN6i,"Real World, Long Day, 3AM, Push, Girl Like That, Back 2 Good, Damn, Argue, Kody, Busted, Shame, Hang"
21,Shania Twain,Come On Over,16,4UMe0Ods7kygK6OISasZe9,"Man! I Feel Like A Woman!, I'm Holdin' On To Love (To Save My Life), Love Gets Me Every Time, Don't Be Stupid (You Know I Love You), From This Moment On, Come On Over, When, Whatever You Do! Don't!, If You Wanna Touch Her, Ask!, You're Still The One, Honey, I'm Home, That Don't Impress Me Much, Black Eyes, Blue Tears, I Won't Leave You Lonely, Rock This Country!, You've Got A Way"
22,Celine Dion,Let's Talk About Love,16,1tfS7Fo1UtAxQSf256fnYs,"The Reason, Immortality (feat. Bee Gees), Treat Her Like a Lady, Why Oh Why, Love Is On the Way, Tell Him (Duet with Barbra Streisand), Amar haciendo el amor, When I Need You, Miles to Go (Before I Sleep), Us, Just a Little Bit of Love, My Heart Will Go On - Love Theme from ""Titanic"", Where Is the Love, Be the Man (On This Night) - English Version, I Hate You Then I Love You (Duet with Luciano Pavarotti), Let's Talk About Love"
23,Robert_Lopez,Titanic,15,0Cuqhgy8vm96JEkBY3polk,"A Lot's Gonna Change, Andromeda, Everyday, Something to Believe, Titanic Rising, Movies, Mirror Forever, Wild Time, Picture Me Better, Nearer to Thee"
24,Cher,Believe,10,5cxMa6oLINJzmZ8lF7wWQN,"All Around The World, Boyfriend, As Long As You Love Me, Catching Feelings, Take You, Right Here, Fall, Die In Your Arms, Thought Of You, Beauty And A Beat, One Love, Be Alright, Believe"
25,Lauryn Hill,The Miseducation of Lauryn Hill,14,1BZoqf8Zje5nGdwZhOjAtD,"Intro, Lost Ones, Ex-Factor, To Zion (feat. Carlos Santana), Doo Wop (That Thing), Superstar, Final Hour, When It Hurts so Bad, I Used to Love Him (feat. Mary J. Blige), Forgive Them Father, Every Ghetto, Every City, Nothing Even Matters (feat. D'Angelo), Everything Is Everything, The Miseducation of Lauryn Hill, Can't Take My Eyes Off of You - (I Love You Baby), Tell Him"
26,Brandy_Norwood,Never Say Never,16,1Co6e9ag1gRKcWdG7xKcCi,"Intro, Angel in Disguise, The Boy Is Mine, Learn the Hard Way, Almost Doesn't Count, Top of the World (feat. Ma$e), U Don't Know Me (Like U Used To), Never Say Never, Truthfully, Have You Ever, Put That on Everything, In the Car Interlude, Happy, One Voice, Tomorrow, (Everything I Do) I Do It for You"
27,Backstreet Boys,Milennium,12,5ySxm9hxBNss01WCL7GLyQ,"Larger Than Life, I Want It That Way, Show Me the Meaning of Being Lonely, It's Gotta Be You, I Need You Tonight, Don't Want You Back, Don't Wanna Lose You Now, The One, Back to Your Heart, Spanish Eyes, No One Else Comes Close, The Perfect Fan"
28,Britney Spears,...Baby One More Time,11,3WNxdumkSMGMJRhEgK80qx,"...Baby One More Time, (You Drive Me) Crazy, Sometimes, Soda Pop, Born to Make You Happy, From the Bottom of My Broken Heart, I Will Be There, I Will Still Love You (with Don Philip), Deep In My Heart, Thinkin' About You, E-Mail My Heart, The Beat Goes On, I'll Never Stop Loving You, Autumn Goodbye, ...Baby One More Time - Davidson Ospina Radio Mix, ...Baby One More Time - Boy Wunder Radio Mix"
29,Santana_(banda),Supernatural,13,10aiDpdFGyfCFEcqpx6XTq,"(Da Le) Yaleo, Love of My Life (feat. Dave Matthews & Carter Beauford), Put Your Lights On (feat. Everlast), Africa Bamba, Smooth (feat. Rob Thomas), Do You Like the Way (feat. Lauryn Hill & Cee-Lo), Maria Maria (feat. The Product G&B), Migra, Corazon Espinado (feat. Mana), Wishing It Was (feat. Eagle-Eye Cherry), El Farol, Primavera, The Calling (feat. Eric Clapton), Day of Celebration"
30,Eminem,The Marshall Mathers LP,18,6t7956yu5zYf5A829XRiHC,"Public Service Announcement 2000, Kill You, Stan, Paul - Skit, Who Knew, Steve Berman, The Way I Am, The Real Slim Shady, Remember Me?, I'm Back, Marshall Mathers, Ken Kaniff - Skit, Drug Ballad, Amityville, Bitch Please II, Kim, Under The Influence, Criminal"
31,The Beatles,1,27,64LU4c1nfjz1t4VnGhagcg,"Welcome To New York (Taylor's Version), Blank Space (Taylor's Version), Style (Taylor's Version), Out Of The Woods (Taylor's Version), All You Had To Do Was Stay (Taylor's Version), Shake It Off (Taylor's Version), I Wish You Would (Taylor's Version), Bad Blood (Taylor's Version), Wildest Dreams (Taylor's Version), How You Get The Girl (Taylor's Version), This Love (Taylor’s Version), I Know Places (Taylor's Version), Clean (Taylor's Version), Wonderland (Taylor's Version), You Are In Love (Taylor's Version), New Romantics (Taylor's Version), ""Slut!"" (Taylor's Version) (From The Vault), Say Don't Go (Taylor's Version) (From The Vault), Now That We Don't Talk (Taylor's Version) (From The Vault), Suburban Legends (Taylor's Version) (From The Vault)"
32,Linkin Park,Hybrid Theory,12,6hPkbAV3ZXpGZBGUvL6jVM,"Papercut, One Step Closer, With You, Points of Authority, Crawling, Runaway, By Myself, In the End, A Place for My Head, Forgotten, Cure for the Itch, Pushing Me Away, My December, High Voltage, Papercut - Live at BBC1"
