canciones_id,Artist,Album,Tracks,album_id,Pistas
69,Robert_Lopez,Frozen,32,7lZs5r4oQV2nutddffLrg0,"Frozen Heart - From ""Frozen""/Soundtrack Version, Do You Want to Build a Snowman? - From ""Frozen""/Soundtrack Version, For the First Time in Forever - From ""Frozen""/Soundtrack Version, Love Is an Open Door - From ""Frozen""/Soundtrack Version, Let It Go - From ""Frozen""/Soundtrack Version, Reindeer(s) Are Better Than People - From ""Frozen"" / Soundtrack Version, In Summer - From ""Frozen""/Soundtrack Version, For the First Time in Forever (Reprise) - From ""Frozen""/Soundtrack Version, Fixer Upper - From ""Frozen""/Soundtrack Version, Let It Go - From ""Frozen / Single Version, Vuelie - From ""Frozen""/Score, Elsa and Anna - From ""Frozen""/Score, The Trolls - From ""Frozen""/Score, Coronation Day - From ""Frozen""/Score, Heimr Àrnadalr - From ""Frozen""/Score, Winter's Waltz - From ""Frozen""/Score, Sorcery - From ""Frozen""/Score, Royal Pursuit - From ""Frozen""/Score, Onward and Upward - From ""Frozen""/Score, Wolves - From ""Frozen""/Score"
70,Eminem,The Marshall Mathers LP 2,16,5EUgcfO5OWxnniHR3QYFcK,"Bad Guy, Parking Lot - Skit, Rhyme Or Reason, So Much Better, Survival, Legacy, Asshole, Berzerk, Rap God, Brainless, Stronger Than I Was, The Monster, So Far..., Love Game, Headlights, Evil Twin, Baby, Desperation, Groundhog Day, Beautiful Pain"
71,One Direction,Mignight Memories,14,7p1fX8aUySrBdx4WSYspOu,"Best Song Ever, Story of My Life, Diana, Midnight Memories, You & I, Don't Forget Where You Belong, Strong, Happily, Right Now, Little Black Dress, Through the Dark, Something Great, Little White Lies, Better Than Words, Why Don't We Go There, Does He Know?, Alive, Half a Heart"
72,Taylor Swift,1989,13,64LU4c1nfjz1t4VnGhagcg,"Welcome To New York (Taylor's Version), Blank Space (Taylor's Version), Style (Taylor's Version), Out Of The Woods (Taylor's Version), All You Had To Do Was Stay (Taylor's Version), Shake It Off (Taylor's Version), I Wish You Would (Taylor's Version), Bad Blood (Taylor's Version), Wildest Dreams (Taylor's Version), How You Get The Girl (Taylor's Version), This Love (Taylor’s Version), I Know Places (Taylor's Version), Clean (Taylor's Version), Wonderland (Taylor's Version), You Are In Love (Taylor's Version), New Romantics (Taylor's Version), ""Slut!"" (Taylor's Version) (From The Vault), Say Don't Go (Taylor's Version) (From The Vault), Now That We Don't Talk (Taylor's Version) (From The Vault), Suburban Legends (Taylor's Version) (From The Vault)"
73,Ed Sheeran,Multiply,12,60hvt891S3FNxAreJCDkgi,Multiply (feat. Juicy J)
74,Sam Smith,In The Lonely Hour,10,08jWgM4vSkTose4blKBWov,"Money On My Mind, Good Thing, Stay With Me, Leave Your Lover, I'm Not The Only One, I've Told You Now, Like I Can, Life Support, Not In That Way, Lay Me Down"
75,Adele,25,11,3AvPX1B1HiFROvYjLb5Qwi,"Hello, Send My Love (To Your New Lover), I Miss You, When We Were Young, Remedy, Water Under the Bridge, River Lea, Love In The Dark, Million Years Ago, All I Ask, Sweetest Devotion"
76,Justin Bieber,Purpose,14,6Fr2rQkZ383FcMqFyT7yPr,"Mark My Words, I'll Show You, What Do You Mean?, Sorry, Love Yourself, Company, No Pressure, No Sense, The Feeling, Life Is Worth Living, Where Are Ü Now, Children, Purpose, Been You, Get Used To It, We Are, Trust, All In It, What Do You Mean? - Acoustic"
77,Twenty One Pilots,Blurryface,14,3cQO7jp5S9qLBoIVtbkSM1,"Heavydirtysoul, Stressed Out, Ride, Fairly Local, Tear in My Heart, Lane Boy, The Judge, Doubt, Polarize, We Don't Believe What's on TV, Message Man, Hometown, Not Today, Goner"
78,Drake_(músico),Views,20,40GMAhriYJRO1rsY4YdrZb,"Keep The Family Close, 9, U With Me?, Feel No Ways, Hype, Weston Road Flows, Redemption, With You, Faithful, Still Here, Controlla, One Dance, Grammys, Childs Play, Pop Style, Too Good, Summers Over Interlude, Fire & Desire, Views, Hotline Bling"
79,Post Malone,Stoney,14,5s0rmjP8XOPhP6HhqOhuyC,"Broken Whiskey Glass, Big Lie, Deja Vu, No Option, Cold, White Iverson, I Fall Apart, Patient, Go Flex, Feel, Too Young, Congratulations, Up There, Yours Truly, Austin Post, Leave, Hit This Hard, Money Made Me Do It, Feeling Whitney"
80,The Weeknd,Starboy,18,2ODvWsOgouMbaA5xf0RkJe,"Starboy, Party Monster, False Alarm, Reminder, Rockin’, Secrets, True Colors, Stargirl Interlude, Sidewalks, Six Feet Under, Love To Lay, A Lonely Night, Attention, Ordinary Life, Nothing Without You, All I Know, Die For You, I Feel It Coming"
81,Ed Sheeran,Divide,12,3T4tUhGYeRNVUGevb0wThu,"Eraser, Castle on the Hill, Dive, Shape of You, Perfect, Galway Girl, Happier, New Man, Hearts Don't Break Around Here, What Do I Know?, How Would You Feel (Paean), Supermarket Flowers, Barcelona, Bibia Be Ye Ye, Nancy Mulligan, Save Myself"
82,Robert_Lopez,The Greatest Showman,13,7ayBZIe1FHkNv0T5xFCX6F,"The Greatest Show, A Million Dreams, A Million Dreams (Reprise), Come Alive, The Other Side, Never Enough, This Is Me, Rewrite The Stars, Tightrope, Never Enough (Reprise), From Now On"
83,Taylor Swift,Reputation,15,6DEjYFkNZh67HP7R9PSZvv,"...Ready For It?, End Game, I Did Something Bad, Don’t Blame Me, Delicate, Look What You Made Me Do, So It Goes..., Gorgeous, Getaway Car, King Of My Heart, Dancing With Our Hands Tied, Dress, This Is Why We Can't Have Nice Things, Call It What You Want, New Year’s Day"
84,Post Malone,Beerbongs & Bentleys,18,6trNtQUgC8cgbWcqoMYkOR,"Paranoid, Spoil My Night (feat. Swae Lee), Rich & Sad, Zack And Codeine, Takin' Shots, rockstar (feat. 21 Savage), Over Now, Psycho (feat. Ty Dolla $ign), Better Now, Ball For Me (feat. Nicki Minaj), Otherside, Stay, Blame It On Me, Same Bitches (feat. G-Eazy & YG), Jonestown (Interlude), 92 Explorer, Candy Paint, Sugar Wraith"
85,Drake_(músico),Scorpion,25,1ATL5GLyefJaxhQzSPVrLX,"Survival, Nonstop, Elevate, Emotionless, God's Plan, I'm Upset, 8 Out Of 10, Mob Ties, Can’t Take A Joke, Sandra’s Rose, Talk Up (feat. Jay-Z), Is There More, Peak, Summer Games, Jaded, Nice For What, Finesse, Ratchet Happy Birthday, That’s How You Feel, Blue Tint"
86,Travis Scott,Astroworld,17,41GuZcammIkupMPKH2OJ6I,"STARGAZING, CAROUSEL, SICKO MODE, R.I.P. SCREW, STOP TRYING TO BE GOD, NO BYSTANDERS, SKELETONS, WAKE UP, 5% TINT, NC-17, ASTROTHUNDER, YOSEMITE, CAN'T SAY, WHO? WHAT!, BUTTERFLY EFFECT, HOUSTONFORNICATION, COFFEE BEAN"
87,Billie Eilish,"When We All Fall Asleep, Where Do We Go?",14,0S0KGZnfBGSIssfF54WSJh,"!!!!!!!, bad guy, xanny, you should see me in a crown, all the good girls go to hell, wish you were gay, when the party's over, 8, my strange addiction, bury a friend, ilomilo, listen before i go, i love you, goodbye"
88,Post Malone,Hollywood's Bleeding,17,4g1ZRSobMefqF6nelkgibi,"Hollywood's Bleeding, Saint-Tropez, Enemies (feat. DaBaby), Allergic, A Thousand Bad Times, Circles, Die For Me (feat. Future & Halsey), On The Road (feat. Meek Mill & Lil Baby), Take What You Want (feat. Ozzy Osbourne & Travis Scott), I'm Gonna Be, Staring At The Sun (feat. SZA), Sunflower - Spider-Man: Into the Spider-Verse, Internet, Goodbyes (feat. Young Thug), Myself, I Know, Wow."
89,BTS,Map Of The Soul: Persona,7,2KqlAl1Kl5fZvbFgJ0qFB6,"Intro : Persona, Boy With Luv (feat. Halsey), Mikrokosmos, Make It Right, HOME, Jamais Vu, Dionysus"
90,BTS,Map Of The Soul: 7,20,5W1XY5ucNATjTULERvXx9j,"Intro : Persona, Boy With Luv (Feat. Halsey), Make It Right, Jamais Vu, Dionysus, Interlude : Shadow, Black Swan, Filter, My Time, Louder than bombs, ON, UGH!, 00:00 (Zero O’Clock), Inner Child, Friends, Moon, Respect, We are Bulletproof : the Eternal, Outro : Ego, ON (Feat. Sia)"
91,BTS,Be,8,0P3oVJBFOv3TDXlYRhGL7s,"Real Life, Losers, Tell Your Friends, Often, The Hills, Acquainted, Can't Feel My Face, Shameless, Earned It (Fifty Shades Of Grey), In The Night, As You Are, Dark Times, Prisoner, Angel"
92,Pop Smoke,"Shoot For The Stars, Aim For The Moon",19,7e7t0MCrNDcJZsPwUKjmOc,"Bad Bitch From Tokyo (Intro), Aim For The Moon (feat. Quavo), For The Night (feat. Lil Baby & DaBaby), 44 BullDog, Gangstas, Yea Yea, Creature (feat. Swae Lee), Snitching (feat. Quavo & Future), Make It Rain (feat. Rowdy Rebel), The Woo (feat. 50 Cent & Roddy Ricch), West Coast Shit (feat. Tyga & Quavo), Enjoy Yourself (feat. Karol G), Mood Swings (feat. Lil Tjay), Something Special, What You Know Bout Love, Diana (feat. King Combs), Got It On Me, Tunnel Vision (Outro), Dior - Bonus"
93,Adele,30,12,21jF5jlMtzo94wbxmJ18aa,"Strangers By Nature, Easy On Me, My Little Love, Cry Your Heart Out, Oh My God, Can I Get It, I Drink Wine, All Night Parking (with Erroll Garner) Interlude, Woman Like Me, Hold On, To Be Loved, Love Is A Game"
94,Olivia Rodrigo,Sour,11,6s84u2TUpR3wdUv4NgKA2j,"brutal, traitor, drivers license, 1 step forward, 3 steps back, deja vu, good 4 u, enough for you, happier, jealousy, jealousy, favorite crime, hope ur ok"
95,Mark_Lee,Hot Sauce,10,1miTgxRTUje9Jqml1aOSUi,"Hot Sauce, Diggity, Dive Into You, My Youth, Rocket, Countdown (3, 2, 1), ANL, Irreplaceable, Be There For You, Rainbow"
